epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1104.57,0.83125,0.58101,1.1273,0.80953,0.68392,0.75296,0.50932,1.27624,1.00877,1.36179,0.0005348,0.0005348,0.0005348
76,1119.23,0.84597,0.60301,1.12483,0.7994,0.70115,0.74765,0.48702,1.32306,1.07338,1.39787,0.000515,0.000515,0.000515
77,1133.85,0.79409,0.56904,1.09249,0.76866,0.70656,0.75325,0.49238,1.30792,1.03895,1.41976,0.0004952,0.0004952,0.0004952
78,1148.49,0.80131,0.56209,1.09656,0.83503,0.7069,0.76806,0.50804,1.29024,0.96033,1.42995,0.0004754,0.0004754,0.0004754
79,1163.22,0.81648,0.5745,1.10219,0.8966,0.63218,0.71997,0.49614,1.23786,1.06633,1.36762,0.0004556,0.0004556,0.0004556
80,1177.97,0.82826,0.56401,1.10904,0.8546,0.64943,0.71336,0.47122,1.33111,1.17027,1.42338,0.0004358,0.0004358,0.0004358
81,1192.62,0.78008,0.56443,1.08131,0.82745,0.71656,0.76198,0.49631,1.3084,1.03698,1.43393,0.000416,0.000416,0.000416
82,1207.24,0.79458,0.53631,1.09628,0.80985,0.70115,0.74238,0.47673,1.32677,1.03699,1.45759,0.0003962,0.0003962,0.0003962
83,1221.88,0.79834,0.54584,1.10204,0.8274,0.67241,0.74483,0.50592,1.27937,1.00918,1.42539,0.0003764,0.0003764,0.0003764
84,1236.5,0.77389,0.52336,1.08449,0.81474,0.68966,0.72851,0.48381,1.29141,1.02803,1.40298,0.0003566,0.0003566,0.0003566
85,1251.12,0.75823,0.51903,1.06656,0.88069,0.67875,0.75318,0.49704,1.28505,1.06344,1.40965,0.0003368,0.0003368,0.0003368
86,1265.7,0.76792,0.52616,1.07546,0.87139,0.61494,0.70219,0.48445,1.24688,1.14781,1.38078,0.000317,0.000317,0.000317
87,1280.29,0.76836,0.52208,1.08101,0.80002,0.68973,0.73408,0.5035,1.22891,1.00851,1.3986,0.0002972,0.0002972,0.0002972
88,1294.91,0.75532,0.50459,1.06779,0.8145,0.68133,0.74281,0.50216,1.2503,1.04569,1.36568,0.0002774,0.0002774,0.0002774
89,1309.53,0.74302,0.50754,1.06755,0.81818,0.68391,0.73228,0.49091,1.25351,1.07684,1.38001,0.0002576,0.0002576,0.0002576
90,1324.19,0.75033,0.50125,1.08337,0.77058,0.71839,0.72099,0.4987,1.224,1.0759,1.34244,0.0002378,0.0002378,0.0002378
91,1339.64,0.66319,0.39149,0.99833,0.79222,0.72989,0.72491,0.49876,1.20854,1.04763,1.35066,0.000218,0.000218,0.000218
92,1354.34,0.64923,0.40895,0.99967,0.81146,0.6926,0.72424,0.5094,1.18866,1.0491,1.34751,0.0001982,0.0001982,0.0001982
93,1368.92,0.64721,0.39238,1.00225,0.83457,0.70115,0.732,0.50785,1.20048,1.00158,1.3623,0.0001784,0.0001784,0.0001784
94,1383.51,0.6224,0.36278,0.97046,0.80234,0.72321,0.74417,0.51318,1.19738,0.97701,1.35735,0.0001586,0.0001586,0.0001586
95,1398.11,0.61453,0.35022,0.96829,0.84545,0.70115,0.74649,0.51632,1.19695,0.99601,1.35611,0.0001388,0.0001388,0.0001388
96,1412.74,0.6093,0.35452,0.98279,0.85972,0.70444,0.74459,0.5169,1.1906,1.02018,1.34716,0.000119,0.000119,0.000119
97,1427.36,0.61875,0.37471,0.9854,0.85982,0.70503,0.75266,0.51823,1.18519,1.02698,1.3455,9.92e-05,9.92e-05,9.92e-05
98,1442.01,0.58533,0.33892,0.96979,0.82789,0.6954,0.74765,0.51857,1.2159,1.06716,1.36219,7.94e-05,7.94e-05,7.94e-05
99,1456.57,0.58865,0.34369,0.96652,0.85827,0.68391,0.75804,0.51616,1.20269,1.02857,1.36859,5.96e-05,5.96e-05,5.96e-05
100,1471.24,0.58627,0.35113,0.96056,0.88006,0.67241,0.76114,0.5232,1.18869,0.99199,1.3504,3.98e-05,3.98e-05,3.98e-05
